Boundary Type,Boundary Name,Population 2016,Population Density 2016,Year opened,Aboriginal,Aboriginal Percent,Visible Minorities Names,Visible Minorities Numbers,Visible Minorities Percent,Visible Minorities Total Number,Visible Minorities Total Percent,Citizenship Numbers,Citizenship Percent,Education Numbers,Education Percent,Unemployment Rate
Neighbourhood,Maybank,2500,2813.708839660239,1971,300,0.12,"['Filipino', 'South Asian', 'Chinese']","[120, 110, 100]","[0.2222222222222222, 0.2037037037037037, 0.18518518518518517]",540,0.216,"[2200, 300]","[0.88, 0.12]","[420, 655, 940]","[0.20843672456575682, 0.3250620347394541, 0.4665012406947891]",0.08
Neighbourhood,Mcmillan,3445,6074.487856314117,1971,375,0.1088534107402032,"['South Asian', 'Filipino', 'Black']","[95, 70, 60]","[0.2159090909090909, 0.1590909090909091, 0.13636363636363635]",440,0.12772133526850507,"[3170, 275]","[0.9201741654571843, 0.07982583454281568]","[170, 865, 2140]","[0.05354330708661417, 0.27244094488188975, 0.6740157480314961]",0.06
Neighbourhood,Meadowood,5685,2855.5541658692714,1971,685,0.12049252418645558,"['South Asian', 'Chinese', 'Black']","[475, 240, 220]","[0.3467153284671533, 0.17518248175182483, 0.16058394160583941]",1370,0.24098504837291118,"[5160, 520]","[0.9084507042253521, 0.09154929577464789]","[845, 1485, 2385]","[0.1792152704135737, 0.3149522799575822, 0.5058324496288441]",0.07
Neighbourhood,Meadows,6465,2686.5924698947883,1981,480,0.07424593967517401,"['Filipino', 'Black', 'South Asian']","[445, 130, 125]","[0.46842105263157896, 0.1368421052631579, 0.13157894736842105]",950,0.14694508894044858,"[6145, 325]","[0.9497681607418856, 0.05023183925811438]","[765, 1915, 2625]","[0.14420358152686144, 0.3609802073515551, 0.4948162111215834]",0.05
Neighbourhood,Melrose,1660,3295.8872885966266,1971,265,0.15963855421686746,"['Filipino', 'Chinese', 'Black']","[160, 45, 20]","[0.5614035087719298, 0.15789473684210525, 0.07017543859649122]",285,0.1716867469879518,"[1530, 130]","[0.9216867469879518, 0.0783132530120482]","[315, 395, 675]","[0.22743682310469315, 0.2851985559566787, 0.48736462093862815]",0.07
Neighbourhood,Minnetonka,4285,1811.4923441725539,1971,350,0.08168028004667445,"['Black', 'Filipino', 'Arab']","[135, 120, 90]","[0.20300751879699247, 0.18045112781954886, 0.13533834586466165]",665,0.15519253208868145,"[4100, 185]","[0.9568261376896149, 0.043173862310385065]","[395, 1025, 2240]","[0.10792349726775956, 0.28005464480874315, 0.6120218579234973]",0.04
Neighbourhood,Minto,5720,3616.270689240963,1971,865,0.15122377622377622,"['Filipino', 'Black', 'Multiple visible minorities']","[965, 220, 90]","[0.6126984126984127, 0.13968253968253969, 0.05714285714285714]",1575,0.27534965034965037,"[5145, 570]","[0.9002624671916011, 0.09973753280839895]","[860, 1320, 2565]","[0.18124341412012646, 0.2781875658587987, 0.5405690200210748]",0.08
Neighbourhood,Mission Gardens,4530,3093.1361737837246,1971,575,0.12693156732891833,"['Filipino', 'Black', 'South Asian']","[615, 205, 165]","[0.5, 0.16666666666666666, 0.13414634146341464]",1230,0.271523178807947,"[4080, 450]","[0.9006622516556292, 0.09933774834437085]","[650, 1315, 1620]","[0.18131101813110181, 0.3668061366806137, 0.45188284518828453]",0.07
Neighbourhood,Montcalm,4940,4371.1901405771205,1971,400,0.08097165991902834,"['Chinese', 'South Asian', 'Black']","[830, 790, 725]","[0.2832764505119454, 0.2696245733788396, 0.24744027303754265]",2930,0.5931174089068826,"[2885, 2050]","[0.5845997973657548, 0.4154002026342452]","[440, 1330, 2555]","[0.10173410404624278, 0.30751445086705204, 0.5907514450867052]",0.11
Neighbourhood,Munroe East,8500,4193.972718454171,1971,1240,0.14588235294117646,"['Filipino', 'Black', 'South Asian']","[970, 625, 410]","[0.3592592592592593, 0.23148148148148148, 0.15185185185185185]",2700,0.3176470588235294,"[7115, 1390]","[0.8365667254556144, 0.16343327454438566]","[1520, 2235, 3045]","[0.2235294117647059, 0.3286764705882353, 0.44779411764705884]",0.08
